Firm,Period,Code,ICB Sector,ROA_in_percent,TA,Total_Liabilities,Operating_Income,FCF,Return_EndCurrQ,Return_BegNextQ,USE
AALI.JK,2020Q1,AALI.JK2020Q1,Food Producers,1.359695632,2.92186E+13,1.03223E+13,5.88387E+11,5.13882E+11,-0.629502583,-0.623885914,TRUE
AALI.JK,2020Q2,AALI.JK2020Q2,Food Producers,0.093413644,2.73813E+13,8.51301E+12,1.67814E+11,1.31357E+11,0.531927585,0.587295767,TRUE
AALI.JK,2020Q3,AALI.JK2020Q3,Food Producers,0.75726036,2.81138E+13,9.18908E+12,3.69439E+11,2.69655E+11,0.237082039,0.282282313,TRUE
AALI.JK,2020Q4,AALI.JK2020Q4,Food Producers,0.984692569,2.77812E+13,9.02874E+12,7.50917E+11,1.41456E+11,0.216225711,0.229802745,TRUE
AALI.JK,2021Q1,AALI.JK2021Q1,Food Producers,0.647926032,2.8469E+13,9.33564E+12,7.05569E+11,3.5406E+11,-0.186612565,-0.212237043,TRUE
ABDA.JK,2020Q1,ABDA.JK2020Q1,Non-life Insurance,1.169231107,2.56954E+12,1.31977E+12,29131519000,29863481000,-0.200716855,-0.194945901,TRUE
ABDA.JK,2020Q2,ABDA.JK2020Q2,Non-life Insurance,0.809076349,2.56209E+12,1.26088E+12,21385951000,22414780000,0.076233154,0.076233154,TRUE
ABDA.JK,2020Q3,ABDA.JK2020Q3,Non-life Insurance,1.028330715,2.51747E+12,1.22231E+12,17221064000,-10389269000,0.119208274,0.114968803,TRUE
ABDA.JK,2020Q4,ABDA.JK2020Q4,Non-life Insurance,2.450752224,2.47778E+12,1.09062E+12,1.02826E+11,63159238000,-0.155303034,-0.152091224,TRUE
ABDA.JK,2021Q1,ABDA.JK2021Q1,Non-life Insurance,1.464029402,2.52687E+12,1.1228E+12,38812381000,36079200000,0.264573969,0.264573969,TRUE
ABMM.JK,2020Q1,ABMM.JK2020Q1,"Oil, Gas and Coal",-0.681980893,1.18567E+13,8.15979E+12,1.03888E+11,-2.59331E+11,-0.062091506,-0.120915011,TRUE
ABMM.JK,2020Q2,ABMM.JK2020Q2,"Oil, Gas and Coal",0.34515499,1.45051E+13,1.02768E+13,2.77648E+11,2.98299E+11,-0.015125375,0.050776988,TRUE
ABMM.JK,2020Q3,ABMM.JK2020Q3,"Oil, Gas and Coal",-0.847076575,1.21608E+13,8.52632E+12,-28383822400,87545618400,-0.407142857,-0.385714286,TRUE
ABMM.JK,2020Q4,ABMM.JK2020Q4,"Oil, Gas and Coal",-0.366894966,1.2965E+13,9.22172E+12,1.52879E+11,-7566470800,-0.084337349,-0.093023256,TRUE
ABMM.JK,2021Q1,ABMM.JK2021Q1,"Oil, Gas and Coal",-3.547885223,1.16144E+13,9.01789E+12,-1.26804E+11,-6.86998E+11,0.019736842,0.012820513,TRUE
ACES.JK,2020Q1,ACES.JK2020Q1,Retailers,4.952627062,6.64181E+12,1.01851E+12,3.36809E+11,3.21552E+11,-0.130434717,-0.145695375,TRUE
ACES.JK,2020Q2,ACES.JK2020Q2,Retailers,3.576190336,6.98949E+12,1.98004E+12,3.91952E+11,3.47061E+11,0.161538367,0.135658946,TRUE
ACES.JK,2020Q3,ACES.JK2020Q3,Retailers,1.560455779,7.09484E+12,2.10725E+12,3.14654E+11,2.89255E+11,0.068115761,0.111278282,TRUE
ACES.JK,2020Q4,ACES.JK2020Q4,Retailers,2.419437126,6.9481E+12,2.10786E+12,1.53999E+11,1.95356E+11,0.07523517,0.055900686,TRUE
ACES.JK,2021Q1,ACES.JK2021Q1,Retailers,2.927757999,7.24706E+12,2.10086E+12,2.19472E+11,-69768223610,-0.110787213,-0.082352991,TRUE
ACST.JK,2020Q1,ACST.JK2020Q1,Construction and Materials,-1.590487218,4.69538E+12,4.59089E+12,-53276000000,-1.36075E+11,-0.871489637,-0.843398174,TRUE
ACST.JK,2020Q2,ACST.JK2020Q2,Construction and Materials,-2.929108095,4.1654E+12,4.18915E+12,13553000000,-1.15348E+11,0.103448258,-0.124137979,TRUE
ACST.JK,2020Q3,ACST.JK2020Q3,Construction and Materials,-12.62101374,3.79857E+12,2.82707E+12,-4.49394E+11,-4.65398E+11,0.330421431,0.414170297,TRUE
ACST.JK,2020Q4,ACST.JK2020Q4,Construction and Materials,-17.13901186,3.05511E+12,2.7798E+12,-5.92916E+11,-7.29178E+11,1.404371585,1.248704663,TRUE
ACST.JK,2021Q1,ACST.JK2021Q1,Construction and Materials,-2.658206694,3.07226E+12,2.87522E+12,-52705000000,-52839000000,-0.304545455,-0.285714286,TRUE
ADES.JK,2020Q1,ADES.JK2020Q1,Beverages,2.542870175,8.45976E+11,2.54438E+11,49858000000,43717000000,-0.330143541,-0.301435407,TRUE
ADES.JK,2020Q2,ADES.JK2020Q2,Beverages,2.248704831,8.18093E+11,2.56827E+11,23386000000,29401000000,0.235714286,0.171232877,TRUE
ADES.JK,2020Q3,ADES.JK2020Q3,Beverages,4.034285928,8.90363E+11,2.10234E+11,21717000000,28051000000,0.300578035,0.321637427,TRUE
ADES.JK,2020Q4,ADES.JK2020Q4,Beverages,6.64141548,9.58791E+11,2.48042E+11,42770000000,47449000000,0.297777778,0.327433628,TRUE
ADES.JK,2021Q1,ADES.JK2021Q1,Beverages,4.805223989,1.01702E+12,2.58283E+11,74089000000,70895000000,0.143835616,0.146666667,TRUE
ADHI.JK,2020Q1,ADHI.JK2020Q1,Construction and Materials,0.040019511,3.64494E+13,3.08261E+13,2.32971E+11,-70060780120,-0.54468084,-0.568376045,TRUE
ADHI.JK,2020Q2,ADHI.JK2020Q2,Construction and Materials,-0.008797047,3.76396E+13,3.21446E+13,1.8113E+11,-1.22702E+11,0.175532112,0.235157823,TRUE
ADHI.JK,2020Q3,ADHI.JK2020Q3,Construction and Materials,0.011216403,3.75518E+13,3.19886E+13,0,8172704290,-0.180327869,-0.157024793,TRUE
ADHI.JK,2020Q4,ADHI.JK2020Q4,Construction and Materials,0.02153309,3.80939E+13,3.25456E+13,4.25961E+11,-9803631410,2.07,2.156862745,TRUE
ADHI.JK,2021Q1,ADHI.JK2021Q1,Construction and Materials,0.015435422,3.7544E+13,3.1989E+13,1.7584E+11,26190673740,-0.286644951,-0.304347826,TRUE
ADMF.JK,2020Q1,ADMF.JK2020Q1,Finance and Credit Services,1.487826011,3.47979E+13,2.73249E+13,1.18432E+12,5.28552E+11,-0.310096135,-0.309352495,TRUE
ADMF.JK,2020Q2,ADMF.JK2020Q2,Finance and Credit Services,0.230515734,3.19602E+13,2.44394E+13,5.79762E+11,56319000000,0.155838308,0.147825525,TRUE
ADMF.JK,2020Q3,ADMF.JK2020Q3,Finance and Credit Services,0.676942955,3.21988E+13,2.45367E+13,7.53877E+11,2.60037E+11,0.003472188,0.006968645,TRUE
ADMF.JK,2020Q4,ADMF.JK2020Q4,Finance and Credit Services,0.688153553,2.92305E+13,2.13052E+13,7.4088E+11,2.62486E+11,0.242214537,0.224913452,TRUE
ADMF.JK,2021Q1,ADMF.JK2021Q1,Finance and Credit Services,0.770198478,2.55881E+13,1.73903E+13,6.06885E+11,2.32663E+11,-0.072423384,-0.059321984,TRUE
ADMG.JK,2020Q1,ADMG.JK2020Q1,Chemicals,-1.77058117,3.88766E+12,6.57927E+11,-1.4173E+11,-1.43373E+11,-0.494623656,-0.481283422,TRUE
ADMG.JK,2020Q2,ADMG.JK2020Q2,Chemicals,-2.798914809,3.27259E+12,6.52338E+11,-61805851000,-29888658000,0.074468085,0.041237113,TRUE
